emp_no,first_name,last_name,birth_date,from_date,to_date,title
82511,Uwe,Koblick,1965-01-27,1985-04-03,9999-01-01,Staff
82919,Shigeu,Claffy,1965-01-05,1995-07-20,9999-01-01,Senior Staff
82928,Alselm,Rikino,1965-01-27,1989-05-08,9999-01-01,Senior Engineer
83289,Shigeichiro,Engelmann,1965-01-09,1999-02-23,9999-01-01,Engineer
83509,Breannda,Collavizza,1965-01-04,1989-02-21,9999-01-01,Senior Staff
83544,Leaf,Baak,1965-01-18,1998-01-23,9999-01-01,Engineer
83714,Ohad,Kilgore,1965-01-27,1994-12-06,9999-01-01,Engineer
83805,Manohar,Harllee,1965-01-23,1997-01-28,9999-01-01,Technique Leader
84029,Babette,Eugenio,1965-01-27,1988-12-02,9999-01-01,Senior Engineer
84163,Zejun,Roisin,1965-01-11,1999-05-05,9999-01-01,Staff
84236,Eberhardt,Barriga,1965-01-18,1989-08-25,9999-01-01,Engineer
84256,Denny,Cheshire,1965-01-25,1996-02-15,9999-01-01,Staff
84315,Kristina,Baumann,1965-01-23,1995-08-13,9999-01-01,Staff
84451,Shiv,Aumann,1965-01-20,1993-11-01,9999-01-01,Technique Leader
84494,Janalee,Loncour,1965-01-02,1986-08-19,9999-01-01,Senior Engineer
84508,Tommaso,Vidya,1965-01-17,1996-05-29,9999-01-01,Senior Engineer
84840,Sverrir,Neimat,1965-01-14,1994-07-05,9999-01-01,Senior Engineer
84922,Parke,Unno,1965-01-22,1996-04-20,9999-01-01,Senior Staff
85216,Ferdinand,Rosiles,1965-01-18,1997-04-29,9999-01-01,Engineer
85288,Younwoo,Luders,1965-01-06,1997-10-22,9999-01-01,Senior Engineer
85414,Chiradeep,Callaway,1965-01-14,1995-02-27,9999-01-01,Engineer
85445,Yongdong,Pollock,1965-01-09,1995-10-11,9999-01-01,Staff
85702,Udi,Merks,1965-01-04,1990-04-15,9999-01-01,Staff
86213,Kristine,Clemencon,1965-01-28,1993-08-06,9999-01-01,Engineer
86324,Maia,Berstel,1965-01-14,1994-01-14,9999-01-01,Senior Staff
86422,Jaewon,Thummel,1965-02-01,1986-06-27,9999-01-01,Senior Engineer
86546,Oldrich,Woycyznski,1965-01-09,1998-07-25,9999-01-01,Staff
86655,Zhenhua,Lorys,1965-01-01,1985-12-16,9999-01-01,Engineer
86672,JoAnne,Anido,1965-01-15,1990-12-11,9999-01-01,Engineer
87353,Quingbo,Coombs,1965-01-07,1996-06-21,9999-01-01,Staff
87458,Mikhail,Gimbel,1965-01-26,1994-06-05,9999-01-01,Engineer
87714,Khun,Janetzko,1965-01-16,1986-08-04,9999-01-01,Staff
87729,Yongmin,Roccetti,1965-01-24,1989-11-16,9999-01-01,Engineer
87783,Conor,Thorensen,1965-01-26,1997-05-09,9999-01-01,Staff
88357,Manohar,Karcich,1965-01-05,1985-05-16,9999-01-01,Engineer
88411,Lena,Cannane,1965-01-31,1993-05-18,9999-01-01,Engineer
88422,Jungsoon,Birsak,1965-01-28,1993-11-30,9999-01-01,Staff
88647,Vasiliy,Ratnaker,1965-01-10,1987-09-22,9999-01-01,Staff
88958,Vojin,Coombs,1965-01-22,1997-08-21,9999-01-01,Staff
88965,Mang,Hedayat,1965-01-20,1991-12-06,9999-01-01,Staff
89048,Otmar,Birjandi,1965-01-24,1985-06-02,9999-01-01,Senior Staff
89207,Along,Erol,1965-01-15,1992-09-04,9999-01-01,Senior Engineer
89346,Mansur,Comyn,1965-01-13,1990-02-23,9999-01-01,Engineer
89487,Kazuhira,Seiwald,1965-01-29,2000-12-16,9999-01-01,Senior Engineer
89590,Guther,Rothenberg,1965-01-27,2000-01-16,9999-01-01,Technique Leader
89664,Pranjal,Rossi,1965-01-20,1988-02-13,9999-01-01,Senior Engineer
89922,Alexius,Ibel,1965-01-26,1989-11-21,9999-01-01,Engineer
89941,Arnould,Weedman,1965-01-23,1997-12-10,9999-01-01,Senior Engineer
90077,Vivian,Guerreiro,1965-01-24,1989-03-28,9999-01-01,Engineer
90084,Renny,Bale,1965-01-01,1991-04-14,9999-01-01,Staff
90116,Brigham,Luiz,1965-01-11,1996-01-25,9999-01-01,Senior Engineer
90211,Bader,Denis,1965-01-15,1999-02-11,9999-01-01,Staff
90292,Koichi,Assaf,1965-01-09,1990-05-03,9999-01-01,Senior Engineer
90366,Magy,Eiron,1965-01-26,1996-07-10,9999-01-01,Senior Staff
90518,Fumiko,Chepyzhov,1965-01-24,1996-05-07,9999-01-01,Senior Engineer
91182,Lucien,Schwartzburd,1965-01-04,1997-09-11,9999-01-01,Senior Staff
91229,Yahiko,Hebden,1965-01-01,1998-08-26,9999-01-01,Senior Engineer
91256,Gunilla,Milicic,1965-01-13,1992-01-05,9999-01-01,Senior Engineer
91308,Remmert,Plumb,1965-01-23,1988-06-08,9999-01-01,Staff
91648,Dmitry,Msuda,1965-01-29,1995-09-15,9999-01-01,Staff
92438,Aria,Kilgore,1965-01-04,1996-05-10,9999-01-01,Engineer
92443,Girolamo,Bellmore,1965-01-01,1990-05-21,9999-01-01,Senior Engineer
92454,Visit,McFarlan,1965-01-24,1987-05-02,9999-01-01,Technique Leader
92577,Zhanqiu,Farrow,1965-01-06,1993-09-06,9999-01-01,Senior Engineer
92598,Ranga,Merro,1965-01-18,1997-01-06,9999-01-01,Staff
92685,Mang,Atchley,1965-01-26,1993-06-03,9999-01-01,Senior Staff
92841,Claude,Candan,1965-01-22,1994-01-14,9999-01-01,Senior Engineer
92846,Anyuan,Kropatsch,1965-01-11,1992-12-22,9999-01-01,Engineer
93040,Jaques,Kabayashi,1965-01-19,1997-09-06,9999-01-01,Senior Engineer
93278,Magdalena,Penn,1965-02-01,1987-04-20,9999-01-01,Staff
93600,Kristina,Neimat,1965-01-13,1993-12-08,9999-01-01,Technique Leader
93794,Rimli,Werthner,1965-01-23,1988-01-30,9999-01-01,Engineer
94045,Gift,Brender,1965-01-19,1989-10-17,9999-01-01,Senior Engineer
94131,Bernardo,Vasanthakumar,1965-01-29,1986-07-14,9999-01-01,Senior Engineer
94331,Ramzi,Cronau,1965-01-26,1994-07-14,9999-01-01,Staff
94416,Aran,Cesareni,1965-01-01,1992-04-10,9999-01-01,Staff
94442,Bilhanan,Marrakchi,1965-01-28,1995-12-03,9999-01-01,Staff
94690,Kazuyasu,Sridhar,1965-01-30,1999-11-24,9999-01-01,Engineer
94761,Hitofumi,Zaccaria,1965-01-27,1987-05-20,9999-01-01,Senior Staff
94787,Shigenori,Stanfel,1965-01-22,1991-12-15,9999-01-01,Senior Staff
95181,Yishai,Cappelli,1965-01-28,1998-10-27,9999-01-01,Engineer
95416,Gianluca,Ramaiah,1965-01-13,2000-06-17,9999-01-01,Senior Staff
95509,Kristinn,Loncour,1965-01-11,1993-08-29,9999-01-01,Staff
95692,Abdulah,Hofstetter,1965-01-20,1989-04-29,9999-01-01,Staff
95920,Nobuyoshi,Hegner,1965-01-19,1995-08-11,9999-01-01,Senior Engineer
96571,Kokou,Garrabrants,1965-01-13,1986-03-07,9999-01-01,Senior Engineer
96579,Mohan,Tasistro,1965-01-18,1989-03-13,9999-01-01,Staff
97092,Anwar,Riexinger,1965-01-22,1989-06-12,9999-01-01,Senior Engineer
97623,Haldon,Janetzko,1965-01-25,1987-03-17,9999-01-01,Staff
98306,Ziya,Kadhim,1965-01-16,1985-07-05,9999-01-01,Engineer
98639,Florina,Assaf,1965-01-29,1994-08-17,9999-01-01,Senior Engineer
99057,Shugo,Reeken,1965-01-30,1998-01-31,9999-01-01,Technique Leader
99590,Dhritiman,Anily,1965-01-24,1995-03-28,9999-01-01,Staff
99654,Mahendra,Motley,1965-01-30,1992-01-29,9999-01-01,Senior Engineer
100865,Hisao,Peral,1965-01-19,1996-03-17,9999-01-01,Senior Engineer
100916,Heejo,Aamodt,1965-01-18,1989-04-26,9999-01-01,Engineer
101647,Mori,Homond,1965-01-22,1994-10-12,9999-01-01,Staff
102620,Adin,Templeman,1965-01-03,1987-03-02,9999-01-01,Staff
103166,Waiman,Dalton,1965-01-09,1990-01-25,9999-01-01,Staff
103196,Djenana,Albarhamtoshy,1965-01-16,1998-03-13,9999-01-01,Engineer
103310,Visit,Swen,1965-01-07,1997-10-31,9999-01-01,Assistant Engineer
103316,Susanne,Peternell,1965-01-03,1997-12-18,9999-01-01,Staff
103756,Heping,Halloran,1965-01-31,1990-11-07,9999-01-01,Senior Engineer
104133,Pranjal,Zyda,1965-01-31,1987-07-08,9999-01-01,Staff
104845,Werner,Lodder,1965-01-29,1996-05-22,9999-01-01,Senior Staff
104962,Zongyan,Auyong,1965-01-04,1991-04-06,9999-01-01,Senior Staff
104988,Parviz,Litzler,1965-01-07,1993-03-20,9999-01-01,Engineer
105191,Jaber,Kleiser,1965-01-01,2000-07-26,9999-01-01,Staff
105342,Kwun,Reeker,1965-01-01,1988-06-08,9999-01-01,Senior Staff
105356,Diederik,Matzov,1965-01-29,1996-07-02,9999-01-01,Engineer
105589,Yechiam,Egerstedt,1965-01-28,1993-07-09,9999-01-01,Engineer
105731,Sachem,Cromarty,1965-01-15,1998-05-20,9999-01-01,Senior Staff
106242,Nevio,Thisen,1965-02-01,1987-04-06,9999-01-01,Senior Engineer
106514,Otilia,Speek,1965-01-04,1999-11-30,9999-01-01,Senior Engineer
106695,Lijie,Garrabrants,1965-01-31,1994-11-14,9999-01-01,Senior Engineer
106710,Babette,Anandan,1965-01-31,1999-08-20,9999-01-01,Staff
106958,Horward,Begiun,1965-01-24,1999-10-06,9999-01-01,Staff
107486,Siamak,Luiz,1965-01-23,1990-05-09,9999-01-01,Technique Leader
107737,Fabrizio,Chleq,1965-01-23,1985-05-16,9999-01-01,Senior Engineer
107792,Shahab,Crooks,1965-01-13,1989-11-14,9999-01-01,Engineer
107828,Ramya,Walston,1965-01-26,1992-03-31,9999-01-01,Engineer
108198,Randi,Samarati,1965-01-24,1994-05-09,9999-01-01,Engineer
109062,Jamaludin,Kandlur,1965-02-01,1995-08-26,9999-01-01,Engineer
109211,Gor,Delgrande,1965-01-11,1989-11-03,9999-01-01,Engineer
109278,Bangqing,Schach,1965-01-21,1989-05-02,9999-01-01,Senior Engineer
109547,Chenye,Zizka,1965-01-04,1995-01-11,9999-01-01,Engineer
109552,Menkae,Etalle,1965-01-31,1986-07-15,9999-01-01,Staff
109598,Stamatina,Auyong,1965-02-01,1992-03-28,9999-01-01,Engineer
109620,Mani,Cannata,1965-01-02,1996-08-11,9999-01-01,Senior Staff
109741,Hatem,Fadgyas,1965-01-11,1994-08-23,9999-01-01,Staff
109953,Godehard,Chorvat,1965-01-26,1994-08-24,9999-01-01,Senior Staff
110077,Slavian,Cincotta,1965-01-27,1986-10-28,9999-01-01,Senior Staff
110201,Shahab,Luit,1965-01-31,1987-11-16,9999-01-01,Staff
110292,Chuanti,Luff,1965-01-08,1998-08-04,9999-01-01,Senior Engineer
110337,Akemi,Fujisaki,1965-01-27,1994-04-20,9999-01-01,Engineer
110388,Kirk,Quaggetto,1965-01-10,1999-03-16,9999-01-01,Senior Staff
110760,Dinah,Denos,1965-01-09,1991-02-09,9999-01-01,Technique Leader
110814,Susumu,Camurati,1965-01-14,1988-06-09,9999-01-01,Staff
111205,Odinaldo,Bridgland,1965-01-15,1988-01-10,9999-01-01,Senior Staff
111733,Anneli,Perl,1965-01-15,1996-06-23,9999-01-01,Senior Engineer
111734,Fan,Kakkad,1965-01-01,1999-10-30,9999-01-01,Senior Staff
111764,Genta,Terekhov,1965-01-16,1991-08-05,9999-01-01,Engineer
111826,Waiman,Genin,1965-01-12,1986-04-03,9999-01-01,Engineer
111940,Sudharsan,DeMori,1965-01-02,1990-05-31,9999-01-01,Engineer
112056,Annemarie,Peternell,1965-01-23,1996-06-10,9999-01-01,Senior Engineer
112316,Ortrun,Schmiedel,1965-01-16,1993-05-27,9999-01-01,Staff
112439,Zvonko,Murthy,1965-01-13,1991-07-02,9999-01-01,Senior Engineer
112577,Morris,Saoudi,1965-01-05,1993-11-05,9999-01-01,Senior Engineer
112851,Kerhong,Matzke,1965-01-19,1988-03-08,9999-01-01,Engineer
112907,Isaac,Koshino,1965-01-25,2001-05-24,9999-01-01,Senior Staff
112975,Giordano,Pietrzykowski,1965-01-17,1996-06-10,9999-01-01,Assistant Engineer
113499,Hugh,Jonsson,1965-01-03,1996-12-23,9999-01-01,Engineer
113520,Zongyan,Gips,1965-01-02,2000-01-16,9999-01-01,Senior Staff
113624,Ewing,DiGiano,1965-01-21,1992-02-06,9999-01-01,Senior Staff
113745,Sasan,Thimonier,1965-01-30,1989-08-25,9999-01-01,Senior Engineer
113971,Yefim,Marwedel,1965-01-23,1995-11-20,9999-01-01,Assistant Engineer
114158,Susuma,Bergere,1965-01-22,1999-07-16,9999-01-01,Staff
114271,Arve,Worfolk,1965-01-09,1986-04-24,9999-01-01,Senior Engineer
114450,Gretta,Huttel,1965-01-03,2000-02-01,9999-01-01,Engineer
114495,Hein,Lichtner,1965-01-22,1988-05-23,9999-01-01,Staff
114496,Franziska,Maginnis,1965-01-27,1999-07-18,9999-01-01,Senior Engineer
115043,Yahiko,Awdeh,1965-01-26,1986-10-03,9999-01-01,Senior Staff
115110,Moni,Kornyak,1965-01-23,1996-07-02,9999-01-01,Engineer
115387,Masasuke,Makinen,1965-01-25,1991-01-20,9999-01-01,Engineer
115525,Mary,Setiz,1965-01-04,1997-07-13,9999-01-01,Senior Staff
115652,Stabislas,Broder,1965-01-21,2002-06-11,9999-01-01,Senior Engineer
115685,Kien,Barreiro,1965-01-27,1997-04-16,9999-01-01,Staff
115724,Youjian,Yetto,1965-01-31,2002-06-23,9999-01-01,Senior Staff
115814,Limsoon,Skafidas,1965-01-31,1996-10-15,9999-01-01,Assistant Engineer
115888,Aiichiro,Kusalik,1965-01-06,1991-08-16,9999-01-01,Senior Staff
116773,Yucai,Fabrizio,1965-01-07,1988-04-11,9999-01-01,Senior Staff
116861,Guadalupe,Pfau,1965-01-12,1998-11-18,9999-01-01,Staff
116890,Vasilii,Cochrane,1965-01-28,1994-03-29,9999-01-01,Engineer
117046,Jacqueline,Akaboshi,1965-01-20,1995-03-04,9999-01-01,Senior Engineer
117229,Kellie,Schrooten,1965-01-25,2001-01-14,9999-01-01,Staff
117576,Baziley,Falck,1965-01-15,1997-04-23,9999-01-01,Engineer
117804,Chinya,Kamble,1965-01-16,1988-03-30,9999-01-01,Staff
118355,Shen,Flanders,1965-01-11,1998-09-26,9999-01-01,Staff
118664,Larisa,Lukaszewicz,1965-01-27,1998-06-08,9999-01-01,Staff
119481,Adhemar,Leonhardt,1965-01-19,1999-02-09,9999-01-01,Engineer
119590,Dante,Covnot,1965-01-09,1998-08-26,9999-01-01,Senior Engineer
119706,Tianruo,Bratten,1965-01-20,1986-04-17,9999-01-01,Senior Engineer
119737,Nimmagadda,Baak,1965-01-17,1993-08-10,9999-01-01,Engineer
120042,Shalesh,Lovengreen,1965-01-28,1986-04-26,9999-01-01,Staff
120317,Lihong,Zeilberger,1965-01-18,1996-01-02,9999-01-01,Engineer
120474,Gino,Lagarias,1965-01-19,1996-06-03,9999-01-01,Senior Engineer
120554,Adam,Besancenot,1965-01-29,1997-02-19,9999-01-01,Senior Staff
120635,Arco,Crouzet,1965-01-23,1988-11-20,9999-01-01,Engineer
120811,Werner,Ranze,1965-01-31,1999-08-15,9999-01-01,Engineer
121883,Domenico,Ratnaker,1965-01-08,1995-04-17,9999-01-01,Engineer
121904,Gao,Ranze,1965-01-12,1994-07-30,9999-01-01,Engineer
122099,Tomokazu,Byoun,1965-01-11,1994-08-01,9999-01-01,Staff
122118,Leni,Henders,1965-01-11,1987-09-10,9999-01-01,Senior Staff
122156,Debatosh,Rajala,1965-01-21,1999-03-09,9999-01-01,Senior Staff
122179,Sailaja,Holburn,1965-01-17,1991-01-16,9999-01-01,Staff
122386,Claudi,Stanfel,1965-01-16,1995-04-13,9999-01-01,Senior Staff
122728,Kien,Bennis,1965-01-02,1986-04-12,9999-01-01,Senior Engineer
122835,Qingxiang,Swan,1965-01-16,1994-02-28,9999-01-01,Staff
123041,Yongmao,Fontan,1965-01-22,1998-06-11,9999-01-01,Engineer
124209,Sivanarayana,Ranka,1965-01-11,1986-07-16,9999-01-01,Engineer
124240,Xiaoqiang,Cardazo,1965-01-25,1990-06-11,9999-01-01,Engineer
124416,Rayond,Klassen,1965-01-15,1998-06-04,9999-01-01,Senior Staff
124452,Peer,Molberg,1965-01-29,1996-07-01,9999-01-01,Senior Engineer
124564,Ingmar,Kohling,1965-01-27,1985-02-26,9999-01-01,Engineer
124814,Arfst,Chepyzhov,1965-01-28,1993-05-21,9999-01-01,Engineer
125020,Dinkar,Hoppenstand,1965-01-12,1999-01-30,9999-01-01,Senior Staff
125444,Flemming,Kroha,1965-01-16,1999-06-21,9999-01-01,Senior Engineer
125654,Munehiro,Manders,1965-01-15,1997-10-02,9999-01-01,Senior Engineer
125868,Pramod,Loncour,1965-01-30,1991-06-24,9999-01-01,Staff
126079,Sahrah,Angiulli,1965-01-24,1997-07-02,9999-01-01,Staff
126087,Shuichi,Anick,1965-01-22,1990-06-22,9999-01-01,Senior Staff
126271,Francoise,Rullman,1965-01-21,1986-07-11,9999-01-01,Senior Engineer
126400,Byong,Gustavson,1965-01-16,1995-10-15,9999-01-01,Engineer
126527,Xiaocheng,Suermann,1965-01-26,1993-06-01,9999-01-01,Senior Engineer
126598,Ashish,Vidya,1965-01-29,1986-10-12,9999-01-01,Engineer
126946,Lena,Lenart,1965-01-22,2001-12-27,9999-01-01,Senior Engineer
127051,Otmar,Engberts,1965-01-11,1999-03-21,9999-01-01,Senior Staff
127105,Masami,Puoti,1965-01-12,1988-02-02,9999-01-01,Engineer
127297,Yuchang,Eldridge,1965-01-21,1988-10-16,9999-01-01,Assistant Engineer
127311,Yannik,Spelt,1965-01-05,1994-09-19,9999-01-01,Staff
127345,Abdelwaheb,Denis,1965-01-10,1986-06-12,9999-01-01,Senior Staff
127388,Horward,Marzano,1965-01-14,1991-08-29,9999-01-01,Senior Engineer
127825,Shay,Servieres,1965-02-01,1995-08-24,9999-01-01,Senior Engineer
128125,Jiong,Garnham,1965-01-24,1993-02-25,9999-01-01,Senior Engineer
128324,Almudena,Genin,1965-01-09,1993-06-23,9999-01-01,Senior Staff
128854,Eckart,Foong,1965-01-17,1988-10-28,9999-01-01,Senior Engineer
129072,Aemilian,Kusalik,1965-01-30,1990-10-23,9999-01-01,Engineer
129077,Marsal,Acton,1965-01-06,1993-12-21,9999-01-01,Senior Staff
129442,Subhrajyoti,Denna,1965-01-29,1998-04-20,9999-01-01,Engineer
129522,Moie,Zastre,1965-01-22,1987-12-31,9999-01-01,Engineer
130054,Demos,Asser,1965-01-17,1997-06-29,9999-01-01,Staff
130156,Reinhard,Slaats,1965-01-09,1998-08-27,9999-01-01,Senior Staff
130553,Sibyl,Rabehasaina,1965-01-06,1999-03-30,9999-01-01,Senior Staff
130607,Poornachandra,Zielinski,1965-01-08,1997-10-19,9999-01-01,Senior Engineer
130650,Shigenori,Deville,1965-01-25,1990-01-04,9999-01-01,Senior Staff
130724,Nahid,Gyimothy,1965-01-07,1991-07-23,9999-01-01,Senior Staff
130824,Perla,Orlowska,1965-01-17,1992-05-27,9999-01-01,Staff
131151,Tesuya,dAstous,1965-01-23,1997-06-27,9999-01-01,Senior Engineer
131392,Saddek,Farris,1965-01-13,1987-03-17,9999-01-01,Staff
131394,Abdulah,Pocchiola,1965-01-28,2002-04-20,9999-01-01,Senior Engineer
131724,Szabolcs,Georgatos,1965-01-15,1986-07-10,9999-01-01,Engineer
131998,Sangeeta,Kalefeld,1965-01-17,1992-12-04,9999-01-01,Senior Staff
132231,Stein,Uludag,1965-01-21,1992-05-01,9999-01-01,Senior Engineer
132336,Miyeon,Billingsley,1965-01-20,1986-06-15,9999-01-01,Engineer
132344,Matt,Chvatal,1965-01-20,1994-09-13,9999-01-01,Assistant Engineer
132379,Valdiodio,Schlumberger,1965-01-15,1999-09-07,9999-01-01,Technique Leader
132641,Badri,Schapire,1965-02-01,1994-06-23,9999-01-01,Staff
132726,Lein,Delaune,1965-01-24,1992-02-10,9999-01-01,Staff
132795,Kazuhiko,Kushner,1965-01-22,1985-06-10,9999-01-01,Senior Engineer
132903,Annemarie,Zallocco,1965-01-10,1988-02-21,9999-01-01,Staff
132951,Limsoon,Erol,1965-01-10,1986-08-31,9999-01-01,Staff
132977,Gopalakrishnan,Suermann,1965-01-28,1998-12-18,9999-01-01,Senior Engineer
133618,Hidefumi,Moehrke,1965-01-20,2002-02-01,9999-01-01,Senior Engineer
134360,Perry,Chachaty,1965-01-29,1991-12-25,9999-01-01,Staff
134415,TRUE,Shobatake,1965-01-24,1997-05-27,9999-01-01,Staff
134959,George,Miake,1965-01-05,1987-05-19,9999-01-01,Staff
135626,Masasuke,Genin,1965-01-13,1997-10-27,9999-01-01,Senior Engineer
135892,Ramalingam,Remmele,1965-01-26,1996-03-22,9999-01-01,Senior Engineer
135989,Mooi,Cooman,1965-01-19,1996-08-22,9999-01-01,Senior Engineer
136241,Giordano,Gini,1965-01-28,1996-02-15,9999-01-01,Engineer
136252,Herbert,Erva,1965-01-07,1987-12-26,9999-01-01,Engineer
137501,Macha,Schnabel,1965-01-11,1992-11-11,9999-01-01,Senior Staff
137706,Mikhail,Rousseau,1965-01-30,1993-08-18,9999-01-01,Senior Engineer
137924,Garnik,Luce,1965-01-23,1987-08-08,9999-01-01,Staff
138123,IEEE,Kroll,1965-01-18,1994-07-04,9999-01-01,Senior Staff
138273,Yuriy,Plump,1965-01-09,1989-08-09,9999-01-01,Staff
138791,Nahla,Smailagic,1965-01-11,1991-10-17,9999-01-01,Senior Staff
139123,Berry,Yurek,1965-01-08,1987-11-19,9999-01-01,Senior Staff
139245,Fabrizio,Lichtman,1965-01-21,1991-04-28,9999-01-01,Senior Staff
139273,Harjit,Terekhov,1965-01-27,1995-09-09,9999-01-01,Senior Engineer
139411,Pohua,Tasistro,1965-01-03,1989-05-05,9999-01-01,Senior Engineer
139416,Paloma,Henseler,1965-01-15,1989-02-24,9999-01-01,Senior Engineer
139572,Moni,Schach,1965-01-03,1989-04-28,9999-01-01,Senior Engineer
139715,Mokhtar,Sherertz,1965-01-08,1990-06-25,9999-01-01,Senior Staff
139752,Ewing,Millington,1965-01-23,1991-06-24,9999-01-01,Senior Engineer
140006,Jamaludin,Fordan,1965-01-19,1988-05-21,9999-01-01,Assistant Engineer
140027,Tadahiro,Backhouse,1965-01-07,1994-05-29,9999-01-01,Senior Engineer
140379,Yinghua,Lorho,1965-01-31,1997-05-15,9999-01-01,Staff
140523,Kolar,Puppo,1965-01-15,1988-05-25,9999-01-01,Engineer
140714,Dietrich,Crabtree,1965-01-14,1993-02-06,9999-01-01,Senior Staff
140846,Toshiki,Raney,1965-01-20,1985-07-01,9999-01-01,Senior Engineer
140890,Takushi,Brattka,1965-01-02,1999-01-18,9999-01-01,Senior Staff
141068,Torsten,Slobodova,1965-01-01,1993-02-22,9999-01-01,Engineer
141094,Trygve,Siksek,1965-01-22,1999-11-30,9999-01-01,Engineer
141696,Chandrasekaran,Pearson,1965-01-07,1998-02-22,9999-01-01,Engineer
141823,Goetz,Alvarado,1965-01-28,1992-12-12,9999-01-01,Engineer
142203,Etsuo,Anandan,1965-01-29,1992-11-06,9999-01-01,Senior Staff
142234,Nitsan,Rouquie,1965-01-11,1987-10-25,9999-01-01,Engineer
142483,Nikolaus,Yetto,1965-01-04,1990-04-15,9999-01-01,Assistant Engineer
142722,Barry,Ramsak,1965-01-23,1992-07-21,9999-01-01,Senior Engineer
143139,Alselm,Gargeya,1965-01-20,1985-06-29,9999-01-01,Senior Engineer
143419,Khalid,Lenart,1965-01-06,2000-01-01,9999-01-01,Technique Leader
143422,Fay,Sundgren,1965-01-16,1989-01-27,9999-01-01,Engineer
143558,Seongbae,Sluis,1965-01-10,1995-07-11,9999-01-01,Senior Staff
143715,Cedric,Riefers,1965-01-17,1987-12-11,9999-01-01,Engineer
143784,Zissis,Lodder,1965-01-14,1995-11-22,9999-01-01,Staff
143810,Baziley,Ballarin,1965-01-30,1986-08-15,9999-01-01,Senior Staff
144220,Luerbio,Terkki,1965-01-07,1985-09-15,9999-01-01,Staff
144303,Tzu,Impagliazzo,1965-01-20,1999-12-25,9999-01-01,Staff
144764,Foong,Aamodt,1965-01-31,1999-12-29,9999-01-01,Senior Staff
145042,Irena,Dratva,1965-01-17,1996-03-15,9999-01-01,Engineer
145121,Sverrir,Gyimothy,1965-01-21,1989-03-18,9999-01-01,Staff
145294,Keiichiro,Feldmann,1965-01-31,1991-02-22,9999-01-01,Senior Engineer
145350,Gro,Prochazka,1965-01-06,1985-09-01,9999-01-01,Engineer
145393,Anneli,Joslin,1965-01-09,1985-08-15,9999-01-01,Engineer
145483,Gio,Heuser,1965-01-05,1997-03-15,9999-01-01,Engineer
145571,Tianruo,Speer,1965-01-17,1986-12-09,9999-01-01,Staff
145818,Jayesh,Spinelli,1965-01-03,1995-03-30,9999-01-01,Engineer
146340,IEEE,Raczkowsky,1965-01-31,1996-04-16,9999-01-01,Engineer
146584,Berna,Nanard,1965-01-20,1988-05-24,9999-01-01,Senior Engineer
146616,Insup,Reinhard,1965-01-11,1998-03-08,9999-01-01,Technique Leader
146908,Huan,Olivero,1965-01-27,1996-09-21,9999-01-01,Staff
146989,Adel,Foote,1965-01-17,1985-03-25,9999-01-01,Senior Engineer
147314,Brendon,Fritzsche,1965-01-24,1989-10-01,9999-01-01,Senior Engineer
147615,Annemarie,Irland,1965-01-25,1999-04-11,9999-01-01,Engineer
148277,Uno,Suppi,1965-01-09,1997-06-24,9999-01-01,Staff
149092,Tadahiko,Pocchiola,1965-01-11,1996-07-10,9999-01-01,Engineer
149269,Abdulla,Kitai,1965-01-13,1994-04-29,9999-01-01,Senior Staff
149689,Sugwoo,Michaels,1965-01-04,1999-07-17,9999-01-01,Senior Staff
149731,Arunas,Bugrara,1965-01-15,1992-12-11,9999-01-01,Senior Staff
149773,Bilhanan,Dusink,1965-01-23,1991-04-24,9999-01-01,Senior Engineer
149828,Oscal,Ernst,1965-01-30,1991-07-12,9999-01-01,Senior Engineer
150036,Heather,Luef,1965-01-27,1992-07-02,9999-01-01,Engineer
150157,Mizuhito,Kobara,1965-02-01,1996-11-06,9999-01-01,Senior Staff
150310,Kolar,Greenaway,1965-01-23,1987-11-21,9999-01-01,Senior Engineer
150463,Temple,Cyre,1965-01-02,1995-05-22,9999-01-01,Engineer
150895,Francesca,Chorvat,1965-01-06,1987-06-02,9999-01-01,Staff
151279,Jagoda,Anguita,1965-01-15,1993-01-27,9999-01-01,Staff
151317,Uri,Lampe,1965-01-29,1990-07-15,9999-01-01,Senior Staff
151592,Emran,Miara,1965-01-18,1999-09-16,9999-01-01,Senior Staff
151897,Bluma,Fetvedt,1965-01-11,1986-10-21,9999-01-01,Senior Engineer
151942,Wuxu,Poupard,1965-02-01,1996-10-01,9999-01-01,Staff
151977,Maya,Anandan,1965-01-20,1994-04-13,9999-01-01,Engineer
152044,Herb,Murrill,1965-01-09,1993-04-06,9999-01-01,Engineer
152106,Tomokazu,Pargas,1965-01-12,1994-12-26,9999-01-01,Engineer
152129,Richara,Sudkamp,1965-01-05,1989-07-08,9999-01-01,Engineer
152262,Hidde,Papsdorf,1965-01-21,1995-03-07,9999-01-01,Staff
152636,Frazer,Flanders,1965-01-18,1999-09-05,9999-01-01,Senior Engineer
152892,Paddy,Nittel,1965-01-04,2000-01-24,9999-01-01,Senior Staff
153043,Bowen,Deverell,1965-01-02,1996-04-05,9999-01-01,Engineer
153102,Kazunori,Perz,1965-02-01,1994-05-05,9999-01-01,Staff
153662,Marjo,Delgrange,1965-01-16,1985-09-06,9999-01-01,Staff
